start_date,end_date,grid load [mwh] calculated resolutions,grid_load_incl_pumped_mwh,hydro_pumped_storage_mwh,residual_load_mwh,date
2015-10-30,2015-10-31,1464909.5,1487985.25,23075.75,1345527.25,2015-10-30
2015-10-31,2015-11-01,1227707.75,1249066.75,21359,968255,2015-10-31
2015-11-01,2015-11-02,1143829.75,1165218,21388.25,973321,2015-11-01
2015-11-02,2015-11-03,1459486.25,1475181,15694.75,1342274.5,2015-11-02
2015-11-03,2015-11-04,1501974,1522457,20483,1394385.25,2015-11-03
2015-11-04,2015-11-05,1501964.25,1521693.25,19729,1355944.25,2015-11-04
2015-11-05,2015-11-06,1480819,1501375.25,20556.25,1311288.5,2015-11-05
2015-11-06,2015-11-07,1462573.5,1481291,18717.5,1211360.5,2015-11-06
2015-11-07,2015-11-08,1266163.75,1287719.25,21555.5,897713.25,2015-11-07
2015-11-08,2015-11-09,1150594.25,1177575,26980.75,759375.75,2015-11-08
2015-11-09,2015-11-10,1480767,1506501.25,25734.25,876282,2015-11-09
2015-11-10,2015-11-11,1518108,1542996.75,24888.75,890559.5,2015-11-10
2015-11-11,2015-11-12,1507564.25,1530678.25,23114,1072280.5,2015-11-11
2015-11-12,2015-11-13,1509683.5,1531591.25,21907.75,1174520.5,2015-11-12
2015-11-13,2015-11-14,1510891.75,1533326.25,22434.5,1022005.5,2015-11-13
2015-11-14,2015-11-15,1301251.25,1322928.5,21677.25,674661,2015-11-14
2015-11-15,2015-11-16,1208250.25,1234197.75,25947.5,655904.5,2015-11-15
2015-11-16,2015-11-17,1494604.25,1515611.25,21007,1013274.5,2015-11-16
2015-11-17,2015-11-18,1540540.25,1560153,19612.75,1046537.5,2015-11-17
2015-11-18,2015-11-19,1537272.5,1563937.25,26664.75,804475,2015-11-18
2015-11-19,2015-11-20,1561215,1584847.25,23632.25,865901,2015-11-19
2015-11-20,2015-11-21,1522261,1543317.5,21056.5,1195095.75,2015-11-20
2015-11-21,2015-11-22,1314882.25,1342296,27413.75,1090205,2015-11-21
2015-11-22,2015-11-23,1231515.75,1258287.75,26772,914377.25,2015-11-22
2015-11-23,2015-11-24,1543575.5,1562917.25,19341.75,1362203.75,2015-11-23
2015-11-24,2015-11-25,1613177.5,1637668,24490.5,1172225,2015-11-24
2015-11-25,2015-11-26,1601158.25,1621686.75,20528.5,1405858.5,2015-11-25
2015-11-26,2015-11-27,1579375,1603242.5,23867.5,1457803,2015-11-26
2015-11-27,2015-11-28,1554779,1575432.5,20653.5,1283706.5,2015-11-27
2015-11-28,2015-11-29,1359668.75,1381062.5,21393.75,859872.75,2015-11-28
2015-11-29,2015-11-30,1271987.25,1296731.25,24744,567790.5,2015-11-29
2015-11-30,2015-12-01,1560671.5,1583214,22542.5,948509.5,2015-11-30
2015-12-01,2015-12-02,1573020.25,1596715.5,23695.25,1145817.5,2015-12-01
2015-12-02,2015-12-03,1564814.25,1587305.5,22491.25,1206481.75,2015-12-02
2015-12-03,2015-12-04,1546209,1568282,22073,1237068.25,2015-12-03
2015-12-04,2015-12-05,1543396.5,1563564,20167.5,1019246.5,2015-12-04
2015-12-05,2015-12-06,1327450,1356229.5,28779.5,711818.5,2015-12-05
2015-12-06,2015-12-07,1228762.5,1251871.25,23108.75,588414.5,2015-12-06
2015-12-07,2015-12-08,1511653.25,1529855.25,18202,1349107.25,2015-12-07
2015-12-08,2015-12-09,1559995.25,1584088.75,24093.5,1307464.5,2015-12-08
2015-12-09,2015-12-10,1561420.5,1585009.75,23589.25,1260614.5,2015-12-09
2015-12-10,2015-12-11,1583296,1605925.75,22629.75,1164777.75,2015-12-10
2015-12-11,2015-12-12,1572780.75,1593613.25,20832.5,1037743.75,2015-12-11
2015-12-12,2015-12-13,1319755.5,1341334.25,21578.75,873528,2015-12-12
2015-12-13,2015-12-14,1224080,1249307,25227,890231,2015-12-13
2015-12-14,2015-12-15,1530778.75,1550053.5,19274.75,1396875,2015-12-14
2015-12-15,2015-12-16,1546101,1566123,20022,1446142,2015-12-15
2015-12-16,2015-12-17,1544798.75,1566304.25,21505.5,1287309,2015-12-16
2015-12-17,2015-12-18,1491738.5,1512890.75,21152.25,1132138.25,2015-12-17
2015-12-18,2015-12-19,1451211.25,1473652.75,22441.5,1105766.75,2015-12-18
2015-12-19,2015-12-20,1250281.75,1268740.25,18458.5,907751.25,2015-12-19
2015-12-20,2015-12-21,1162253.5,1184546.25,22292.75,761502.25,2015-12-20
2015-12-21,2015-12-22,1388590.75,1416093.25,27502.5,807311.25,2015-12-21
2015-12-22,2015-12-23,1371253.25,1395640.25,24387,701271,2015-12-22
2015-12-23,2015-12-24,1313767.5,1336765,22997.5,718573,2015-12-23
2015-12-24,2015-12-25,1121023,1149567.5,28544.5,645366,2015-12-24
2015-12-25,2015-12-26,1035062,1058706.75,23644.75,583678.75,2015-12-25
2015-12-26,2015-12-27,1041610.5,1067326,25715.5,384972.25,2015-12-26
2015-12-27,2015-12-28,1067574.5,1083809.75,16235.25,576290.75,2015-12-27
2015-12-28,2015-12-29,1211307.25,1232647.75,21340.5,970961.25,2015-12-28
2015-12-29,2015-12-30,1223232.75,1250317.25,27084.5,877723.25,2015-12-29
2015-12-30,2015-12-31,1230753.5,1252341.25,21587.75,896634.5,2015-12-30
2015-12-31,2016-01-01,1164582.5,1203239.75,38657.25,825332.25,2015-12-31
2016-01-01,2016-01-02,1056996.25,1086068.5,29072.25,930884.5,2016-01-01
2016-01-02,2016-01-03,1194341.5,1223455.25,29113.75,778859.75,2016-01-02
2016-01-03,2016-01-04,1179005.75,1209116.25,30110.5,745832.75,2016-01-03
2016-01-04,2016-01-05,1443721,1472111.25,28390.25,1136337.25,2016-01-04
2016-01-05,2016-01-06,1496659,1525201.75,28542.75,1260735,2016-01-05
2016-01-06,2016-01-07,1446303.75,1476069.75,29766,1267195.5,2016-01-06
2016-01-07,2016-01-08,1538899,1572883.5,33984.5,1212183.75,2016-01-07
2016-01-08,2016-01-09,1519486.75,1554587.5,35100.75,996030,2016-01-08
2016-01-09,2016-01-10,1300208.25,1325542.75,25334.5,1073913.5,2016-01-09
2016-01-10,2016-01-11,1217998.25,1264668.25,46670,845852.25,2016-01-10
2016-01-11,2016-01-12,1545820.75,1571679.5,25858.75,1333480.25,2016-01-11
2016-01-12,2016-01-13,1570874,1601498.5,30624.5,1252203,2016-01-12
2016-01-13,2016-01-14,1584378,1617710.5,33332.5,1225695.75,2016-01-13
2016-01-14,2016-01-15,1571944.5,1603073.5,31129,1289695,2016-01-14
2016-01-15,2016-01-16,1573183,1602322.5,29139.5,1404194.75,2016-01-15
2016-01-16,2016-01-17,1352447.75,1385683.75,33236,1209138,2016-01-16
2016-01-17,2016-01-18,1264881.25,1308492.5,43611.25,1144777.25,2016-01-17
2016-01-18,2016-01-19,1601320.75,1630375.25,29054.5,1494947.25,2016-01-18
2016-01-19,2016-01-20,1645530,1678232.75,32702.75,1453867,2016-01-19
2016-01-20,2016-01-21,1635927.25,1674208.25,38281,1503217,2016-01-20
2016-01-21,2016-01-22,1626742.25,1664726.75,37984.5,1561784.75,2016-01-21
2016-01-22,2016-01-23,1618786.75,1652818.25,34031.5,1385489.75,2016-01-22
2016-01-23,2016-01-24,1387336.25,1418870.5,31534.25,1091998.25,2016-01-23
2016-01-24,2016-01-25,1257062.5,1289389.75,32327.25,978540.75,2016-01-24
2016-01-25,2016-01-26,1529881.5,1554132.25,24250.75,1185746,2016-01-25
2016-01-26,2016-01-27,1558803.5,1593628.5,34825,1032968.5,2016-01-26
2016-01-27,2016-01-28,1571806.75,1605927.5,34120.75,882138.5,2016-01-27
2016-01-28,2016-01-29,1550571.5,1579459,28887.5,1033322.25,2016-01-28
2016-01-29,2016-01-30,1536184.25,1572755.75,36571.5,840530,2016-01-29
2016-01-30,2016-01-31,1345614.25,1379936.5,34322.25,633548.75,2016-01-30
2016-01-31,2016-02-01,1229194.5,1271464.5,42270,706491.25,2016-01-31
2016-02-01,2016-02-02,1539382.5,1571706,32323.5,972226.5,2016-02-01
2016-02-02,2016-02-03,1575889.5,1613608.5,37719,848275.75,2016-02-02
2016-02-03,2016-02-04,1574476.75,1610312.5,35835.75,996265.5,2016-02-03
2016-02-04,2016-02-05,1574177.5,1606880.5,32703,1180537.25,2016-02-04
2016-02-05,2016-02-06,1531236,1558813,27577,1241425.5,2016-02-05
2016-02-06,2016-02-07,1301268,1328704,27436,832058.25,2016-02-06
2016-02-07,2016-02-08,1205885.25,1254659.5,48774.25,646520.25,2016-02-07
2016-02-08,2016-02-09,1505158,1538154.25,32996.25,724910.75,2016-02-08
2016-02-09,2016-02-10,1553398.25,1587633.75,34235.5,908155.5,2016-02-09
2016-02-10,2016-02-11,1575404,1605274.5,29870.5,1133759,2016-02-10
2016-02-11,2016-02-12,1548130.25,1581930.25,33800,1173186,2016-02-11
2016-02-12,2016-02-13,1527371.5,1550669.25,23297.75,1371978.25,2016-02-12
2016-02-13,2016-02-14,1333147.5,1355348.25,22200.75,1125514.75,2016-02-13
2016-02-14,2016-02-15,1232865.5,1273782.75,40917.25,914343.5,2016-02-14
2016-02-15,2016-02-16,1554765,1579493,24728,1312989.5,2016-02-15
2016-02-16,2016-02-17,1583499.5,1612299.25,28799.75,1460064.25,2016-02-16
2016-02-17,2016-02-18,1597377.75,1631560.25,34182.5,1350338.25,2016-02-17
2016-02-18,2016-02-19,1560715.5,1588496.75,27781.25,1414649.75,2016-02-18
2016-02-19,2016-02-20,1559821,1584226.75,24405.75,1413663.75,2016-02-19
2016-02-20,2016-02-21,1385359.5,1410824.5,25465,763069.5,2016-02-20
2016-02-21,2016-02-22,1240377.25,1285757,45379.75,579033.25,2016-02-21
2016-02-22,2016-02-23,1538585,1572579.75,33994.75,926428.5,2016-02-22
2016-02-23,2016-02-24,1558182.75,1584728.5,26545.75,1221233.25,2016-02-23
2016-02-24,2016-02-25,1548715,1584583.25,35868.25,1209954.5,2016-02-24
2016-02-25,2016-02-26,1555622.75,1580059,24436.25,1331709.75,2016-02-25
2016-02-26,2016-02-27,1514776,1539380,24604,1342580.25,2016-02-26
2016-02-27,2016-02-28,1294879.5,1320187.25,25307.75,1072076.25,2016-02-27
2016-02-28,2016-02-29,1208862.25,1239770,30907.75,952751.25,2016-02-28
2016-02-29,2016-03-01,1518861.5,1544585.5,25724,1224507.75,2016-02-29
2016-03-01,2016-03-02,1582560.75,1607807.5,25246.75,1299201.5,2016-03-01
2016-03-02,2016-03-03,1567465,1602264,34799,1163540.75,2016-03-02
2016-03-03,2016-03-04,1551639.75,1580309.25,28669.5,1392336.75,2016-03-03
2016-03-04,2016-03-05,1530989,1552803.25,21814.25,1176803.75,2016-03-04
2016-03-05,2016-03-06,1305330,1329424.25,24094.25,1170799.5,2016-03-05
2016-03-06,2016-03-07,1209940.25,1245693,35752.75,1044998.75,2016-03-06
2016-03-07,2016-03-08,1502170.75,1521300.75,19130,1367418.5,2016-03-07
2016-03-08,2016-03-09,1548290.75,1575435.25,27144.5,1406326,2016-03-08
2016-03-09,2016-03-10,1541114,1572174.5,31060.5,1183373.25,2016-03-09
2016-03-10,2016-03-11,1528542.5,1555819.25,27276.75,1304014.5,2016-03-10
2016-03-11,2016-03-12,1506180,1526587,20407,1344140.75,2016-03-11
2016-03-12,2016-03-13,1300580,1315888.5,15308.5,1151343,2016-03-12
2016-03-13,2016-03-14,1187959.5,1229294.75,41335.25,992684.75,2016-03-13
2016-03-14,2016-03-15,1475316,1494337,19021,1248379.75,2016-03-14
2016-03-15,2016-03-16,1537672,1560460.75,22788.75,1345756,2016-03-15
2016-03-16,2016-03-17,1534324.25,1564395.5,30071.25,1165668.25,2016-03-16
2016-03-17,2016-03-18,1502820.25,1525301,22480.75,1262818.5,2016-03-17
2016-03-18,2016-03-19,1496240.5,1518645,22404.5,1245884,2016-03-18
2016-03-19,2016-03-20,1292633.75,1308984,16350.25,1095721.5,2016-03-19
2016-03-20,2016-03-21,1195019.75,1228097.75,33078,842006.75,2016-03-20
2016-03-21,2016-03-22,1487546.5,1508628,21081.5,1101278,2016-03-21
2016-03-22,2016-03-23,1509273.75,1533792.25,24518.5,1253675.25,2016-03-22
2016-03-23,2016-03-24,1501967,1525606.5,23639.5,1299527.75,2016-03-23
2016-03-24,2016-03-25,1473992.25,1493586.75,19594.5,1328164.5,2016-03-24
2016-03-25,2016-03-26,1193680.5,1214774,21093.5,978353.25,2016-03-25
2016-03-26,2016-03-27,1171675,1194802,23127,811259.75,2016-03-26
2016-03-27,2016-03-28,1039634.75,1073467,33832.25,561318.5,2016-03-27
2016-03-28,2016-03-29,1119207.75,1160690.25,41482.5,527735,2016-03-28
2016-03-29,2016-03-30,1420080.25,1447304.75,27224.5,880327,2016-03-29
2016-03-30,2016-03-31,1469200.25,1500605.25,31405,1085919,2016-03-30
2016-03-31,2016-04-01,1458785,1478636.75,19851.75,1259909.75,2016-03-31
2016-04-01,2016-04-02,1448453.75,1473450.75,24997,1245752.25,2016-04-01
2016-04-02,2016-04-03,1220290,1244538,24248,905010.75,2016-04-02
2016-04-03,2016-04-04,1103710.75,1142431.5,38720.75,866328.5,2016-04-03
2016-04-04,2016-04-05,1390255.25,1412226.25,21971,1134591.5,2016-04-04
2016-04-05,2016-04-06,1436506.5,1460667,24160.5,1215297.5,2016-04-05
2016-04-06,2016-04-07,1466539.75,1493894,27354.25,951410.25,2016-04-06
2016-04-07,2016-04-08,1464194.75,1491701.75,27507,990035,2016-04-07
2016-04-08,2016-04-09,1427241.75,1451983,24741.25,1208990,2016-04-08
2016-04-09,2016-04-10,1202734.5,1221475,18740.5,1025268.5,2016-04-09
2016-04-10,2016-04-11,1094757.75,1130986.75,36229,812193,2016-04-10
2016-04-11,2016-04-12,1399090.75,1411777.25,12686.5,1000766.5,2016-04-11
2016-04-12,2016-04-13,1424561,1447932.5,23371.5,1189540.5,2016-04-12
2016-04-13,2016-04-14,1445908.5,1464916,19007.5,1292832,2016-04-13
2016-04-14,2016-04-15,1443869.75,1472264.25,28394.5,1264775.5,2016-04-14
2016-04-15,2016-04-16,1426265.25,1448108.5,21843.25,1142383.5,2016-04-15
2016-04-16,2016-04-17,1218591,1249240.25,30649.25,795818.5,2016-04-16
2016-04-17,2016-04-18,1103354.25,1134150,30795.75,815570.5,2016-04-17
2016-04-18,2016-04-19,1401868.25,1418871.5,17003.25,1029332,2016-04-18
2016-04-19,2016-04-20,1433439.5,1463234.5,29795,905156.75,2016-04-19
2016-04-20,2016-04-21,1417926.25,1437882.75,19956.5,1024490.75,2016-04-20
2016-04-21,2016-04-22,1408797.5,1425823,17025.5,1104246.5,2016-04-21
2016-04-22,2016-04-23,1392434.75,1413432,20997.25,1060816.75,2016-04-22
2016-04-23,2016-04-24,1207675.75,1231116,23440.25,925430.5,2016-04-23
2016-04-24,2016-04-25,1111727.25,1157034.75,45307.5,792265.5,2016-04-24
2016-04-25,2016-04-26,1436783,1456076,19293,1074956.25,2016-04-25
2016-04-26,2016-04-27,1473761.25,1502592,28830.75,1106814.75,2016-04-26
2016-04-27,2016-04-28,1494339.5,1526910,32570.5,992174.25,2016-04-27
2016-04-28,2016-04-29,1465108,1485120.75,20012.75,1125436.5,2016-04-28
2016-04-29,2016-04-30,1426454.25,1455307.5,28853.25,968535.25,2016-04-29
2016-04-30,2016-05-01,1189434.25,1211695.75,22261.5,882337,2016-04-30
2016-05-01,2016-05-02,1061586.75,1113131.75,51545,721707.75,2016-05-01
2016-05-02,2016-05-03,1374225.25,1389527.25,15302,1096619,2016-05-02
2016-05-03,2016-05-04,1442984,1468544.5,25560.5,1093914.25,2016-05-03
2016-05-04,2016-05-05,1418535.5,1441180.75,22645.25,1153991,2016-05-04
2016-05-05,2016-05-06,1124218.75,1156916.5,32697.75,776204.75,2016-05-05
2016-05-06,2016-05-07,1255859.5,1279857,23997.5,785966.5,2016-05-06
2016-05-07,2016-05-08,1160427,1199507,39080,631189,2016-05-07
2016-05-08,2016-05-09,1073956.5,1122047,48090.5,456982.75,2016-05-08
2016-05-09,2016-05-10,1395779.25,1417473.25,21694,820092.75,2016-05-09
2016-05-10,2016-05-11,1424022.5,1454303,30280.5,998328,2016-05-10
2016-05-11,2016-05-12,1428687.25,1455698.5,27011.25,952010.75,2016-05-11
2016-05-12,2016-05-13,1449162.25,1477210.5,28048.25,980410,2016-05-12
2016-05-13,2016-05-14,1401479.25,1422672.5,21193.25,1052000,2016-05-13
2016-05-14,2016-05-15,1187984.25,1212780.5,24796.25,670516.25,2016-05-14
2016-05-15,2016-05-16,1054865.5,1096871.25,42005.75,526038,2016-05-15
2016-05-16,2016-05-17,1074460.75,1101842.75,27382,687958.75,2016-05-16
2016-05-17,2016-05-18,1377848.5,1396508,18659.5,1055332.25,2016-05-17
2016-05-18,2016-05-19,1421227.25,1447897,26669.75,1183435.75,2016-05-18
2016-05-19,2016-05-20,1432925.5,1458186.5,25261,1255003.25,2016-05-19
2016-05-20,2016-05-21,1419263.5,1445117,25853.5,1089998.5,2016-05-20
2016-05-21,2016-05-22,1187445.5,1212894,25448.5,880445.25,2016-05-21
2016-05-22,2016-05-23,1090591,1123171.5,32580.5,684434.75,2016-05-22
2016-05-23,2016-05-24,1398614.25,1421939.5,23325.25,1145240.75,2016-05-23
2016-05-24,2016-05-25,1438137.5,1462702.5,24565,1182008,2016-05-24
2016-05-25,2016-05-26,1413216.5,1433667.75,20451.25,1282372.75,2016-05-25
2016-05-26,2016-05-27,1219604,1241880.25,22276.25,1031934,2016-05-26
2016-05-27,2016-05-28,1308596.75,1333495.5,24898.75,1129907,2016-05-27
2016-05-28,2016-05-29,1180774,1203607,22833,944869.25,2016-05-28
2016-05-29,2016-05-30,1095992.25,1126557,30564.75,813585,2016-05-29
2016-05-30,2016-05-31,1400425.5,1428710.5,28285,1027080.25,2016-05-30
2016-05-31,2016-06-01,1434484.5,1455639.25,21154.75,1176472.5,2016-05-31
2016-06-01,2016-06-02,1420657.25,1443761.75,23104.5,1152225,2016-06-01
2016-06-02,2016-06-03,1413640,1441159.5,27519.5,1180032,2016-06-02
2016-06-03,2016-06-04,1385412.5,1410866.5,25454,1148007.25,2016-06-03
2016-06-04,2016-06-05,1171161.5,1190323,19161.5,952094.25,2016-06-04
2016-06-05,2016-06-06,1068275.75,1099109.75,30834,849200.25,2016-06-05
2016-06-06,2016-06-07,1367203.25,1384331.75,17128.5,1085494.25,2016-06-06
