start_date,end_date,grid_load_mwh,residual_load_mwh,date
2015-10-27,2015-10-28,1387991,1103353.75,2015-10-27
2015-10-28,2015-10-29,1405207.75,1136783,2015-10-28
2015-10-29,2015-10-30,1411071,1301863,2015-10-29
2015-10-30,2015-10-31,1402652.25,1222609,2015-10-30
2015-10-31,2015-11-01,1186477.5,905290.25,2015-10-31
2015-11-01,2015-11-02,1097626.25,945890.25,2015-11-01
2015-11-02,2015-11-03,1343895.25,1223725,2015-11-02
2015-11-03,2015-11-04,1407682,1284119.5,2015-11-03
2015-11-04,2015-11-05,1410608.5,1239192.25,2015-11-04
2015-11-05,2015-11-06,1408288.25,1214280,2015-11-05
2015-11-06,2015-11-07,1399706.25,1107103.25,2015-11-06
2015-11-07,2015-11-08,1207819.25,828735.25,2015-11-07
2015-11-08,2015-11-09,1101315.5,690299.75,2015-11-08
2015-11-09,2015-11-10,1397418,744493.75,2015-11-09
2015-11-10,2015-11-11,1428914.25,705571.5,2015-11-10
2015-11-11,2015-11-12,1446656.25,981319.75,2015-11-11
2015-11-12,2015-11-13,1447783.5,1068610.5,2015-11-12
2015-11-13,2015-11-14,1440048,892655,2015-11-13
2015-11-14,2015-11-15,1260318,502707,2015-11-14
2015-11-15,2015-11-16,1156041.25,562374.25,2015-11-15
2015-11-16,2015-11-17,1429833.25,868350.5,2015-11-16
2015-11-17,2015-11-18,1459036.5,982542,2015-11-17
2015-11-18,2015-11-19,1464353.25,610923,2015-11-18
2015-11-19,2015-11-20,1476585.5,655964.25,2015-11-19
2015-11-20,2015-11-21,1459321.25,1054597.5,2015-11-20
2015-11-21,2015-11-22,1278549.25,1000400.75,2015-11-21
2015-11-22,2015-11-23,1174999.25,802476.75,2015-11-22
2015-11-23,2015-11-24,1434123.25,1239363.5,2015-11-23
2015-11-24,2015-11-25,1475972.75,991041,2015-11-24
2015-11-25,2015-11-26,1416689,1183743,2015-11-25
2015-11-26,2015-11-27,1416397.25,1276949.75,2015-11-26
2015-11-27,2015-11-28,1472779.5,1147922,2015-11-27
2015-11-28,2015-11-29,1283271,792979.75,2015-11-28
2015-11-29,2015-11-30,1210425.5,424473.5,2015-11-29
2015-11-30,2015-12-01,1456304.75,763702.5,2015-11-30
2015-12-01,2015-12-02,1501943.25,1093073.25,2015-12-01
2015-12-02,2015-12-03,1481404,1081908.75,2015-12-02
2015-12-03,2015-12-04,1482920.5,1157434.75,2015-12-03
2015-12-04,2015-12-05,1468849.25,917137.5,2015-12-04
2015-12-05,2015-12-06,1342182.25,679943,2015-12-05
2015-12-06,2015-12-07,1283465,605038.5,2015-12-06
2015-12-07,2015-12-08,1462582.25,1292222,2015-12-07
2015-12-08,2015-12-09,1469577.5,1165998.75,2015-12-08
2015-12-09,2015-12-10,1453111.25,1086917.75,2015-12-09
2015-12-10,2015-12-11,1478713.25,995808.25,2015-12-10
2015-12-11,2015-12-12,1482979.5,920714.25,2015-12-11
2015-12-12,2015-12-13,1309292.75,847082.25,2015-12-12
2015-12-13,2015-12-14,1227045.25,896781.25,2015-12-13
2015-12-14,2015-12-15,1404443.25,1264169.5,2015-12-14
2015-12-15,2015-12-16,1461641.5,1372238,2015-12-15
2015-12-16,2015-12-17,1461268.5,1183184.25,2015-12-16
2015-12-17,2015-12-18,1451096,1095011,2015-12-17
2015-12-18,2015-12-19,1422459.5,1061315.75,2015-12-18
2015-12-19,2015-12-20,1218639,871028.75,2015-12-19
2015-12-20,2015-12-21,1139827,685003.75,2015-12-20
2015-12-21,2015-12-22,1383344.75,810150,2015-12-21
2015-12-22,2015-12-23,1407352,731341.75,2015-12-22
2015-12-23,2015-12-24,1303258.25,697499.5,2015-12-23
2015-12-24,2015-12-25,1264520.25,799127.75,2015-12-24
2015-12-25,2015-12-26,1060655.75,627006.25,2015-12-25
2015-12-26,2015-12-27,1002653.75,367013.25,2015-12-26
2015-12-27,2015-12-28,1044617.25,552694.25,2015-12-27
2015-12-28,2015-12-29,1263077,1021140,2015-12-28
2015-12-29,2015-12-30,1283811,918350,2015-12-29
2015-12-30,2015-12-31,1201561.5,796305.5,2015-12-30
2015-12-31,2016-01-01,1049531.5,679132.5,2015-12-31
2016-01-01,2016-01-02,1063590.75,936356.75,2016-01-01
2016-01-02,2016-01-03,1051553.75,620419.5,2016-01-02
2016-01-03,2016-01-04,1003330.5,519624.75,2016-01-03
2016-01-04,2016-01-05,1186668.75,811812.5,2016-01-04
2016-01-05,2016-01-06,1268627.25,976434.75,2016-01-05
2016-01-06,2016-01-07,1287419.25,1081928.5,2016-01-06
2016-01-07,2016-01-08,1330458.25,988474.75,2016-01-07
2016-01-08,2016-01-09,1331227.25,800639,2016-01-08
2016-01-09,2016-01-10,1238043.5,1049089.75,2016-01-09
2016-01-10,2016-01-11,1157297.75,821042,2016-01-10
2016-01-11,2016-01-12,1372120,1200013,2016-01-11
2016-01-12,2016-01-13,1386740,1112174.75,2016-01-12
2016-01-13,2016-01-14,1389809.25,1087982.75,2016-01-13
2016-01-14,2016-01-15,1430730,1180058.5,2016-01-14
2016-01-15,2016-01-16,1435732.5,1259943.75,2016-01-15
2016-01-16,2016-01-17,1297389,1157372.5,2016-01-16
2016-01-17,2016-01-18,1229374,1115247.75,2016-01-17
2016-01-18,2016-01-19,1427300.75,1313034.25,2016-01-18
2016-01-19,2016-01-20,1436771,1271267.5,2016-01-19
2016-01-20,2016-01-21,1489139.5,1336279.25,2016-01-20
2016-01-21,2016-01-22,1503659.75,1427703,2016-01-21
2016-01-22,2016-01-23,1522747,1275898.25,2016-01-22
2016-01-23,2016-01-24,1343868.5,1093299.5,2016-01-23
2016-01-24,2016-01-25,1248753.5,1024643.75,2016-01-24
2016-01-25,2016-01-26,1481187,1190092,2016-01-25
2016-01-26,2016-01-27,1482304,1028741.25,2016-01-26
2016-01-27,2016-01-28,1499762.25,810485,2016-01-27
2016-01-28,2016-01-29,1485884,996662.25,2016-01-28
2016-01-29,2016-01-30,1515393.75,843068,2016-01-29
2016-01-30,2016-01-31,1357576.75,665901,2016-01-30
2016-01-31,2016-02-01,1245304.25,693524.75,2016-01-31
2016-02-01,2016-02-02,1462857.5,868901,2016-02-01
2016-02-02,2016-02-03,1416368.25,638129,2016-02-02
2016-02-03,2016-02-04,1466387.75,844624,2016-02-03
2016-02-04,2016-02-05,1484159.75,1114434,2016-02-04
2016-02-05,2016-02-06,1472477.75,1201825.75,2016-02-05
2016-02-06,2016-02-07,1323521.75,842492.5,2016-02-06
2016-02-07,2016-02-08,1236367.25,696423.75,2016-02-07
2016-02-08,2016-02-09,1435783,654478.25,2016-02-08
2016-02-09,2016-02-10,1425799.25,834486,2016-02-09
2016-02-10,2016-02-11,1471857,1077227.5,2016-02-10
2016-02-11,2016-02-12,1471370.5,1099676.75,2016-02-11
2016-02-12,2016-02-13,1451092.25,1310924,2016-02-12
2016-02-13,2016-02-14,1241388,1049427.75,2016-02-13
2016-02-14,2016-02-15,1160210.25,801170.5,2016-02-14
2016-02-15,2016-02-16,1335419.5,1066159.75,2016-02-15
2016-02-16,2016-02-17,1337815.5,1204380.25,2016-02-16
2016-02-17,2016-02-18,1437148,1206449,2016-02-17
2016-02-18,2016-02-19,1446787.5,1302501.5,2016-02-18
2016-02-19,2016-02-20,1445534.75,1292539.5,2016-02-19
2016-02-20,2016-02-21,1310378.75,754970.75,2016-02-20
2016-02-21,2016-02-22,1231945.5,655833,2016-02-21
2016-02-22,2016-02-23,1421679.25,879866.25,2016-02-22
2016-02-23,2016-02-24,1408140.25,1082381.75,2016-02-23
2016-02-24,2016-02-25,1446982.5,1104532.5,2016-02-24
2016-02-25,2016-02-26,1450214.75,1238339,2016-02-25
2016-02-26,2016-02-27,1432961.75,1245226.75,2016-02-26
2016-02-27,2016-02-28,1285381.25,1078799.75,2016-02-27
2016-02-28,2016-02-29,1185422.5,954011.75,2016-02-28
2016-02-29,2016-03-01,1409996,1114656.25,2016-02-29
2016-03-01,2016-03-02,1452845,1214691.75,2016-03-01
2016-03-02,2016-03-03,1455691.25,1125780.25,2016-03-02
2016-03-03,2016-03-04,1460592,1295567.25,2016-03-03
2016-03-04,2016-03-05,1432864.25,1164817.75,2016-03-04
2016-03-05,2016-03-06,1223474.75,1055695.75,2016-03-05
2016-03-06,2016-03-07,1129643,953159.25,2016-03-06
2016-03-07,2016-03-08,1391923.25,1255145.75,2016-03-07
2016-03-08,2016-03-09,1437697.75,1295032.25,2016-03-08
2016-03-09,2016-03-10,1439551.75,1139458.5,2016-03-09
2016-03-10,2016-03-11,1439619.25,1231683,2016-03-10
2016-03-11,2016-03-12,1424669.75,1272413,2016-03-11
2016-03-12,2016-03-13,1235752.25,1093070.25,2016-03-12
2016-03-13,2016-03-14,1153856,964319.75,2016-03-13
2016-03-14,2016-03-15,1411208,1204805.25,2016-03-14
2016-03-15,2016-03-16,1448141.25,1236912.75,2016-03-15
2016-03-16,2016-03-17,1432815.75,1109880,2016-03-16
2016-03-17,2016-03-18,1439218,1203929,2016-03-17
2016-03-18,2016-03-19,1414912.75,1164954.5,2016-03-18
2016-03-19,2016-03-20,1223631.5,1051160.25,2016-03-19
2016-03-20,2016-03-21,1127329.75,760127,2016-03-20
2016-03-21,2016-03-22,1384697.5,1040097.25,2016-03-21
2016-03-22,2016-03-23,1409975.75,1151625.5,2016-03-22
2016-03-23,2016-03-24,1369151.25,1143443,2016-03-23
2016-03-24,2016-03-25,1366196.25,1212898.5,2016-03-24
2016-03-25,2016-03-26,1114785.75,889898,2016-03-25
2016-03-26,2016-03-27,1110103.25,806640.25,2016-03-26
2016-03-27,2016-03-28,1001379.5,563153,2016-03-27
2016-03-28,2016-03-29,1058206.25,490644.5,2016-03-28
2016-03-29,2016-03-30,1345489,819736.75,2016-03-29
2016-03-30,2016-03-31,1326051.25,973823,2016-03-30
2016-03-31,2016-04-01,1328932.25,1153277,2016-03-31
2016-04-01,2016-04-02,1308477.25,1096680,2016-04-01
2016-04-02,2016-04-03,1112671.75,742382.5,2016-04-02
2016-04-03,2016-04-04,1063673,802112,2016-04-03
2016-04-04,2016-04-05,1330114.5,1103465.75,2016-04-04
2016-04-05,2016-04-06,1353266.5,1148842.25,2016-04-05
2016-04-06,2016-04-07,1339333,881731.5,2016-04-06
2016-04-07,2016-04-08,1344790.25,839345,2016-04-07
2016-04-08,2016-04-09,1325913.75,1126563.5,2016-04-08
2016-04-09,2016-04-10,1139061.75,963499.5,2016-04-09
2016-04-10,2016-04-11,1064646,821318.25,2016-04-10
2016-04-11,2016-04-12,1252580,865222,2016-04-11
2016-04-12,2016-04-13,1322502,1076610,2016-04-12
2016-04-13,2016-04-14,1328924.75,1166555.25,2016-04-13
2016-04-14,2016-04-15,1329557,1153660.75,2016-04-14
2016-04-15,2016-04-16,1313360.25,1035202,2016-04-15
2016-04-16,2016-04-17,1128975.5,706524.25,2016-04-16
2016-04-17,2016-04-18,1032485,750080,2016-04-17
2016-04-18,2016-04-19,1296306.75,875395.5,2016-04-18
2016-04-19,2016-04-20,1290684.75,724142.25,2016-04-19
2016-04-20,2016-04-21,1291623.25,883325,2016-04-20
2016-04-21,2016-04-22,1347265.5,1036803.5,2016-04-21
2016-04-22,2016-04-23,1334074.75,995692,2016-04-22
2016-04-23,2016-04-24,1156972.25,857252.25,2016-04-23
2016-04-24,2016-04-25,1058728.75,717773,2016-04-24
2016-04-25,2016-04-26,1312263.75,963798.75,2016-04-25
2016-04-26,2016-04-27,1309397.5,910328.75,2016-04-26
2016-04-27,2016-04-28,1345349.5,902223,2016-04-27
2016-04-28,2016-04-29,1350574.25,1006525.25,2016-04-28
2016-04-29,2016-04-30,1335157.25,880392,2016-04-29
2016-04-30,2016-05-01,1130861.5,853548.25,2016-04-30
2016-05-01,2016-05-02,1030408.25,729255.5,2016-05-01
2016-05-02,2016-05-03,1298104,1031545.75,2016-05-02
2016-05-03,2016-05-04,1330645.75,1023769.75,2016-05-03
2016-05-04,2016-05-05,1286462.5,993445,2016-05-04
2016-05-05,2016-05-06,1047973.25,719326.75,2016-05-05
2016-05-06,2016-05-07,1204453.75,740715,2016-05-06
2016-05-07,2016-05-08,1136663.5,628834,2016-05-07
2016-05-08,2016-05-09,1054137.75,462342.25,2016-05-08
2016-05-09,2016-05-10,1217503.75,661463.5,2016-05-09
2016-05-10,2016-05-11,1270850.5,847961.75,2016-05-10
2016-05-11,2016-05-12,1305887.5,819072.75,2016-05-11
2016-05-12,2016-05-13,1318685.75,842270.5,2016-05-12
2016-05-13,2016-05-14,1291683.25,950450,2016-05-13
2016-05-14,2016-05-15,1096467.5,545054.25,2016-05-14
2016-05-15,2016-05-16,973582,427899.75,2016-05-15
2016-05-16,2016-05-17,993209.5,588518.75,2016-05-16
2016-05-17,2016-05-18,1270296.25,906513.25,2016-05-17
2016-05-18,2016-05-19,1309859.5,1054027,2016-05-18
2016-05-19,2016-05-20,1330655.75,1157404.5,2016-05-19
2016-05-20,2016-05-21,1319933.75,1012038,2016-05-20
2016-05-21,2016-05-22,1131763.25,836018.75,2016-05-21
2016-05-22,2016-05-23,1040885,604891,2016-05-22
