start_date,end_date,net export [mwh] calculated resolutions,netherlands (export) [mwh] calculated resolutions,netherlands (import) [mwh] calculated resolutions,switzerland (export) [mwh] calculated resolutions,switzerland (import) [mwh] calculated resolutions,denmark (export) [mwh] calculated resolutions,denmark (import) [mwh] calculated resolutions,czech republic (export) [mwh] calculated resolutions,czech republic (import) [mwh] calculated resolutions,luxembourg (export) [mwh] calculated resolutions,luxembourg (import) [mwh] calculated resolutions,sweden (export) [mwh] calculated resolutions,sweden (import) [mwh] calculated resolutions,austria (export) [mwh] calculated resolutions,austria (import) [mwh] calculated resolutions,france (export) [mwh] calculated resolutions,france (import) [mwh] calculated resolutions,poland (export) [mwh] calculated resolutions,poland (import) [mwh] calculated resolutions,norway (export) [mwh] calculated resolutions,norway (import) [mwh] calculated resolutions,belgium (export) [mwh] calculated resolutions,belgium (import) [mwh] calculated resolutions
2015-10-27T00:00:00Z,2015-10-28T00:00:00Z,NA,62718,0,85264,-15637,1081,-14706,21762,-11120,NA,NA,0,-12595,35658,0,0,-52324,38941,0,NA,NA,NA,NA
2015-10-28T00:00:00Z,2015-10-29T00:00:00Z,NA,64700,0,83857,-15463,1098,-14660,14603,-20462,NA,NA,0,-12338,35126,0,0,-45966,32730,0,NA,NA,NA,NA
2015-10-29T00:00:00Z,2015-10-30T00:00:00Z,NA,22095,-424,68283,-13141,4811,-9757,16784,-17306,NA,NA,3,-8807,26910,0,0,-55236,29327,0,NA,NA,NA,NA
2015-10-30T00:00:00Z,2015-10-31T00:00:00Z,NA,28596,-470,81748,-15331,2518,-13791,21690,-17741,NA,NA,0,-12372,42380,0,0,-55963,34282,0,NA,NA,NA,NA
2015-10-31T00:00:00Z,2015-11-01T00:00:00Z,NA,72849,0,81749,-13846,2561,-12070,21870,-20158,NA,NA,0,-12058,54100,0,0,-31101,35040,0,NA,NA,NA,NA
2015-11-01T00:00:00Z,2015-11-02T00:00:00Z,NA,75600,0,64993,-11115,555,-19397,14813,-22939,NA,NA,0,-14529,47269,0,0,-43319,22547,-256,NA,NA,NA,NA
2015-11-02T00:00:00Z,2015-11-03T00:00:00Z,NA,43351,0,71008,-12378,649,-22112,13438,-27310,NA,NA,2,-10649,42089,0,0,-47543,25225,-2,NA,NA,NA,NA
2015-11-03T00:00:00Z,2015-11-04T00:00:00Z,NA,29332,-922,70169,-10353,510,-20223,23379,-18854,NA,NA,0,-9105,49941,0,0,-47368,38026,0,NA,NA,NA,NA
2015-11-04T00:00:00Z,2015-11-05T00:00:00Z,NA,17567,-2302,75965,-12820,3083,-11801,29233,-16263,NA,NA,0,-7558,48676,0,0,-35896,38323,0,NA,NA,NA,NA
2015-11-05T00:00:00Z,2015-11-06T00:00:00Z,NA,20362,-1531,77409,-13752,2937,-15440,24319,-16684,NA,NA,14,-5379,45621,-6,0,-49220,37478,0,NA,NA,NA,NA
2015-11-06T00:00:00Z,2015-11-07T00:00:00Z,NA,38718,0,76904,-14816,2505,-12139,29485,-15717,NA,NA,32,-2384,51006,0,0,-55947,41343,0,NA,NA,NA,NA
2015-11-07T00:00:00Z,2015-11-08T00:00:00Z,NA,65522,0,87543,-17496,10716,-7877,35399,-21566,NA,NA,528,-4936,68896,0,0,-45621,45116,0,NA,NA,NA,NA
2015-11-08T00:00:00Z,2015-11-09T00:00:00Z,NA,59699,0,77520,-14896,12833,-8258,29299,-18019,NA,NA,524,-5197,67899,0,0,-53493,37445,0,NA,NA,NA,NA
2015-11-09T00:00:00Z,2015-11-10T00:00:00Z,NA,53328,0,84789,-14444,15362,-9106,34172,-23060,NA,NA,613,-135,57421,0,0,-59132,36250,0,NA,NA,NA,NA
2015-11-10T00:00:00Z,2015-11-11T00:00:00Z,NA,45340,0,83292,-14632,16849,-10070,30086,-24815,NA,NA,404,0,57493,0,0,-55719,28062,0,NA,NA,NA,NA
2015-11-11T00:00:00Z,2015-11-12T00:00:00Z,NA,60003,0,87285,-16163,6385,-16158,35490,-24024,NA,NA,40,-719,57615,0,0,-53639,35187,0,NA,NA,NA,NA
2015-11-12T00:00:00Z,2015-11-13T00:00:00Z,NA,53217,0,65572,-10966,4037,-13483,31610,-24695,NA,NA,30,-4839,60211,0,0,-49194,37523,0,NA,NA,NA,NA
2015-11-13T00:00:00Z,2015-11-14T00:00:00Z,NA,53026,0,82860,-14416,7373,-9837,32625,-22259,NA,NA,124,-149,55176,0,0,-55063,32975,0,NA,NA,NA,NA
2015-11-14T00:00:00Z,2015-11-15T00:00:00Z,NA,37380,0,87941,-14358,30962,-5854,32193,-18368,NA,NA,702,0,64927,0,0,-41206,34311,0,NA,NA,NA,NA
2015-11-15T00:00:00Z,2015-11-16T00:00:00Z,NA,39065,0,98561,-15981,29606,-5336,30657,-17237,NA,NA,4437,0,57356,0,0,-27971,36628,0,NA,NA,NA,NA
2015-11-16T00:00:00Z,2015-11-17T00:00:00Z,NA,52879,0,87051,-15482,7972,-11648,23966,-24285,NA,NA,184,-112,55914,0,0,-42744,30529,0,NA,NA,NA,NA
2015-11-17T00:00:00Z,2015-11-18T00:00:00Z,NA,57642,0,88282,-12479,9992,-8495,31047,-27234,NA,NA,426,-4139,62526,0,0,-50455,40612,0,NA,NA,NA,NA
2015-11-18T00:00:00Z,2015-11-19T00:00:00Z,NA,36871,0,89749,-15047,24717,-6017,31493,-26051,NA,NA,240,0,56266,0,0,-58126,33428,0,NA,NA,NA,NA
2015-11-19T00:00:00Z,2015-11-20T00:00:00Z,NA,40986,0,87586,-15372,21330,-7265,30429,-24790,NA,NA,406,0,53403,0,0,-64692,35382,0,NA,NA,NA,NA
2015-11-20T00:00:00Z,2015-11-21T00:00:00Z,NA,66423,0,84213,-15631,5694,-12076,29504,-28854,NA,NA,12,-8128,41299,0,0,-33991,33687,0,NA,NA,NA,NA
2015-11-21T00:00:00Z,2015-11-22T00:00:00Z,NA,85296,0,82313,-14239,7153,-11224,25632,-27830,NA,NA,390,-6665,58569,0,0,-58548,37421,0,NA,NA,NA,NA
2015-11-22T00:00:00Z,2015-11-23T00:00:00Z,NA,82884,0,92401,-14759,19226,-7581,23401,-31368,NA,NA,398,-114,62362,0,0,-19790,36691,0,NA,NA,NA,NA
2015-11-23T00:00:00Z,2015-11-24T00:00:00Z,NA,58929,0,65205,-11762,14576,-5993,21541,-29454,NA,NA,221,-2400,40606,0,0,-35589,35089,0,NA,NA,NA,NA
2015-11-24T00:00:00Z,2015-11-25T00:00:00Z,NA,62496,0,69477,-13482,8039,-12043,33503,-25666,NA,NA,46,-11,57394,0,0,-40400,41346,0,NA,NA,NA,NA
2015-11-25T00:00:00Z,2015-11-26T00:00:00Z,NA,47689,0,74143,-14924,1806,-12406,29315,-25913,NA,NA,0,-12490,50127,0,0,-46765,34330,0,NA,NA,NA,NA
2015-11-26T00:00:00Z,2015-11-27T00:00:00Z,NA,29218,-155,69057,-13517,1137,-13229,25283,-25196,NA,NA,26,-4069,45239,0,0,-37609,34968,0,NA,NA,NA,NA
2015-11-27T00:00:00Z,2015-11-28T00:00:00Z,NA,30356,-103,79435,-15212,8038,-11702,28622,-25538,NA,NA,48,0,55607,0,0,-40884,38935,0,NA,NA,NA,NA
2015-11-28T00:00:00Z,2015-11-29T00:00:00Z,NA,63679,0,102951,-17088,13133,-7906,30138,-28480,NA,NA,260,0,68727,0,0,-19123,42138,0,NA,NA,NA,NA
2015-11-29T00:00:00Z,2015-11-30T00:00:00Z,NA,23307,0,102693,-17368,45454,0,30640,-22302,NA,NA,1345,0,74080,0,0,-37344,41883,0,NA,NA,NA,NA
2015-11-30T00:00:00Z,2015-12-01T00:00:00Z,NA,32585,0,88787,-15282,19624,-9488,23774,-23293,NA,NA,399,-1990,47716,0,0,-51170,31635,0,NA,NA,NA,NA
2015-12-01T00:00:00Z,2015-12-02T00:00:00Z,NA,56343,0,90932,-16056,18208,-3492,21125,-24901,NA,NA,309,-7197,45245,0,0,-39250,33231,0,NA,NA,NA,NA
