start_date;price_gas_mwh
01.02.2022;75.83
02.02.2022;77.04
03.02.2022;
04.02.2022;82.25
05.02.2022;
06.02.2022;
07.02.2022;78.58
08.02.2022;
09.02.2022;75.5
10.02.2022;75.29
11.02.2022;77.21
12.02.2022;
13.02.2022;
14.02.2022;80.53
15.02.2022;68.96
16.02.2022;68.97
17.02.2022;74.76
18.02.2022;
19.02.2022;
20.02.2022;
21.02.2022;72.09
22.02.2022;79.62
23.02.2022;89.6
24.02.2022;126.67
25.02.2022;91.6
26.02.2022;
27.02.2022;
28.02.2022;99.04
01.03.2022;123.92
02.03.2022;176.06
03.03.2022;153.46
04.03.2022;190.77
05.03.2022;
06.03.2022;
07.03.2022;290.47
08.03.2022;209.88
09.03.2022;149.67
10.03.2022;121.35
11.03.2022;128.85
12.03.2022;
13.03.2022;
14.03.2022;109.8
15.03.2022;110.59
16.03.2022;97.52
17.03.2022;102.36
18.03.2022;98.42
19.03.2022;
20.03.2022;
21.03.2022;92.4
22.03.2022;94.39
23.03.2022;112.42
24.03.2022;101.24
25.03.2022;97.52
26.03.2022;
27.03.2022;
28.03.2022;101.77
29.03.2022;107.79
30.03.2022;116.44
31.03.2022;125.61
01.04.2022;112.09
02.04.2022;
03.04.2022;
04.04.2022;111.2
05.04.2022;108.53
06.04.2022;106.16
07.04.2022;103.45
08.04.2022;103.56
09.04.2022;
10.04.2022;
11.04.2022;101.03
12.04.2022;103.09
13.04.2022;104.32
14.04.2022;90.55
15.04.2022;
16.04.2022;
17.04.2022;
18.04.2022;
19.04.2022;92.26
20.04.2022;92.43
21.04.2022;97.94
22.04.2022;92.16
23.04.2022;
24.04.2022;
25.04.2022;93.75
26.04.2022;98.06
27.04.2022;106.15
28.04.2022;99.18
29.04.2022;96.53
30.04.2022;
01.05.2022;
02.05.2022;96.53
03.05.2022;97.37
04.05.2022;101.81
05.05.2022;99.23
06.05.2022;88.64
07.05.2022;
08.05.2022;
09.05.2022;83.83
10.05.2022;83.93
11.05.2022;82.08
12.05.2022;92.46
13.05.2022;91.47
14.05.2022;
15.05.2022;
16.05.2022;91.84
17.05.2022;93.53
18.05.2022;91.18
19.05.2022;87.8
20.05.2022;84.51
21.05.2022;
22.05.2022;
23.05.2022;77.77
24.05.2022;79.42
25.05.2022;80.66
26.05.2022;81.73
27.05.2022;83.45
28.05.2022;
29.05.2022;
30.05.2022;87.7
31.05.2022;86.91
01.06.2022;76.65
02.06.2022;76.65
03.06.2022;76.65
04.06.2022;
05.06.2022;
06.06.2022;78.4
07.06.2022;78.02
08.06.2022;76.81
09.06.2022;82.05
10.06.2022;79.52
11.06.2022;
12.06.2022;
13.06.2022;81.05
14.06.2022;96.14
15.06.2022;114.41
16.06.2022;117.87
17.06.2022;108.54
18.06.2022;
19.06.2022;
20.06.2022;116.37
21.06.2022;123.3
22.06.2022;124.99
23.06.2022;128.96
24.06.2022;126.4
25.06.2022;128.84
26.06.2022;
27.06.2022;
28.06.2022;129.78
29.06.2022;139.98
30.06.2022;144.62
01.07.2022;147.92
02.07.2022;
03.07.2022;
04.07.2022;163.01
05.07.2022;163.19
06.07.2022;172.61
07.07.2022;185.53
08.07.2022;170.06
09.07.2022;
10.07.2022;
11.07.2022;162.39
12.07.2022;173.68
13.07.2022;181.92
14.07.2022;172.04
15.07.2022;153.61
16.07.2022;
17.07.2022;
18.07.2022;155.89
19.07.2022;151.88
20.07.2022;153.83
21.07.2022;156
22.07.2022;159.21
23.07.2022;
24.07.2022;
25.07.2022;176.36
26.07.2022;202.58
27.07.2022;206.48
28.07.2022;200.31
29.07.2022;192.09
30.07.2022;
31.07.2022;
01.08.2022;199.86
02.08.2022;200.93
03.08.2022;196.27
04.08.2022;199.14
05.08.2022;193.58
06.08.2022;
07.08.2022;
08.08.2022;191.96
09.08.2022;192.11
10.08.2022;202.64
11.08.2022;206.9
12.08.2022;200.13
13.08.2022;
14.08.2022;
15.08.2022;216.97
16.08.2022;226.05
17.08.2022;225.35
18.08.2022;239.32
19.08.2022;246.21
20.08.2022;280.5
21.08.2022;
22.08.2022;
23.08.2022;268.49
24.08.2022;292.71
25.08.2022;312.27
26.08.2022;315.86
27.08.2022;
28.08.2022;
29.08.2022;315.86
30.08.2022;249.4
31.08.2022;232.02
01.09.2022;225.03
02.09.2022;181.52
03.09.2022;
04.09.2022;
05.09.2022;218.41
06.09.2022;231.9
07.09.2022;209.81
08.09.2022;209.37
09.09.2022;191.2
10.09.2022;
11.09.2022;
12.09.2022;186.1
13.09.2022;197.82
14.09.2022;216.42
15.09.2022;201.04
16.09.2022;165.83
17.09.2022;
18.09.2022;
19.09.2022;164.14
20.09.2022;174.77
21.09.2022;172.03
22.09.2022;172.61
23.09.2022;169.46
24.09.2022;
25.09.2022;
26.09.2022;168.76
27.09.2022;203.65
28.09.2022;201.87
29.09.2022;180.28
30.09.2022;159.7
01.10.2022;
02.10.2022;
03.10.2022;128.5
04.10.2022;89.9
05.10.2022;100.24
06.10.2022;129.04
07.10.2022;99.42
08.10.2022;103.52
09.10.2022;103.38
10.10.2022;
11.10.2022;
12.10.2022;
13.10.2022;90.8
14.10.2022;65.73
15.10.2022;
16.10.2022;
17.10.2022;62.2
18.10.2022;63.94
19.10.2022;69.81
20.10.2022;59.45
21.10.2022;40.79
22.10.2022;
23.10.2022;
24.10.2022;27. Sep
25.10.2022;41.23
26.10.2022;43.87
27.10.2022;30.26
28.10.2022;35.44
29.10.2022;
30.10.2022;
31.10.2022;31.19
01.11.2022;22. Apr
02.11.2022;47.45
03.11.2022;69.1
04.11.2022;57.49
05.11.2022;
06.11.2022;
07.11.2022;64.99
08.11.2022;90.73
09.11.2022;88.84
10.11.2022;75.81
11.11.2022;67.63
12.11.2022;
13.11.2022;
14.11.2022;108.02
15.11.2022;116.16
16.11.2022;100.97
17.11.2022;107.12
18.11.2022;
19.11.2022;
20.11.2022;
21.11.2022;113.07
22.11.2022;117.32
23.11.2022;126.36
24.11.2022;119
25.11.2022;125.69
26.11.2022;
27.11.2022;
28.11.2022;124.94
29.11.2022;133.52
30.11.2022;140.55
01.12.2022;136.63
02.12.2022;133.89
03.12.2022;
04.12.2022;
05.12.2022;135.38
06.12.2022;139.99
07.12.2022;149.13
08.12.2022;137.66
09.12.2022;143.72
10.12.2022;
11.12.2022;
12.12.2022;138.24
13.12.2022;138.43
14.12.2022;132.73
15.12.2022;135.09
16.12.2022;117.49
17.12.2022;
18.12.2022;
19.12.2022;107.15
20.12.2022;105.35
21.12.2022;94.66
22.12.2022;89.31
23.12.2022;80.53
24.12.2022;
25.12.2022;
26.12.2022;
27.12.2022;80.53
28.12.2022;77.6
29.12.2022;79.78
30.12.2022;66.23
31.12.2022;
01.01.2023;
02.01.2023;66.23
03.01.2023;68.88
04.01.2023;63.11
05.01.2023;67.04
06.01.2023;66.44
07.01.2023;
08.01.2023;
09.01.2023;72.41
10.01.2023;66.86
11.01.2023;65.12
12.01.2023;65.82
13.01.2023;63.96
14.01.2023;
15.01.2023;
16.01.2023;56.55
17.01.2023;60.61
18.01.2023;62.61
19.01.2023;61.78
20.01.2023;68.88
21.01.2023;
22.01.2023;
